FID,LandUse,Location,D1HOURMAX,D24HOURMEAN,D8HOURMAX,D8HOURMEAN,Lat,Long,y_coord_pr,x_coord_pr
1110,RESIDENTIAL,SUBURBAN,57.07,33.63,51.66,50.69,38.8553,-77.635597,88.859397,978.476989
1111,RESIDENTIAL,SUBURBAN,57.66,35.23,51.87,50.44,37.285598,-79.884201,-40.383899,879.038024
1112,FOREST,RURAL,53.02,30.01,47.7,46.68,37.626098,-79.513099,-13.663299,894.838989
1113,COMMERCIAL,SUBURBAN,55.09,29,49.57,48.82,38.477298,-78.819,50.957401,921.075988
1114,RESIDENTIAL,SUBURBAN,59.81,34.2,53.41,52.33,38.4831,-77.3703,66.584297,997.624023
1115,AGRICULTURAL,RURAL,57,33.69,52.5,51.24,36.8931,-81.254997,-79.752899,809.30603
1116,RESIDENTIAL,URBAN,56.35,33.05,49.49,47.64,38.810798,-77.0447,92.298698,1010.140014
1117,RESIDENTIAL,SUBURBAN,54.35,35.07,47.92,46.23,37.003299,-76.3992,-22.225,1070.609985
1118,COMMERCIAL,SUBURBAN,55.67,37.31,49.78,48.47,36.903301,-76.438598,-29.4255,1069.949951
1119,AGRICULTURAL,SUBURBAN,55.33,34.42,50.36,49.61,36.667499,-76.731399,-48.735198,1057.589965
1120,FOREST,RURAL,38.55,32.93,35.95,32.99,48.286701,-124.620002,848.25,-1309.21997
1121,RESIDENTIAL,SUBURBAN,42.17,25.25,36.56,35.1,45.616699,-122.516998,642.427978,-1268.699951
1122,RESIDENTIAL,SUBURBAN,34.96,17.24,29.15,27.98,47.551898,-122.043998,764.179016,-1209.079956
1123,FOREST,RURAL,41.61,23.24,36.63,35.35,47.4897,-121.773002,756.474975,-1198.030029
1124,FOREST,RURAL,43.68,27.32,38.65,37.16,47.141101,-121.932998,735.463012,-1212.010009
1125,RESIDENTIAL,URBAN,30.59,18.13,24.7,22.18,47.568298,-122.307998,768.776,-1220.650024
1126,FOREST,RURAL,43.94,35.94,39.95,36.23,46.785301,-121.733001,709.203979,-1209.73999
1127,RESIDENTIAL,RURAL,39.53,24.6,35.02,33.9,46.843101,-122.317001,720.870971,-1235.329956
1128,FOREST,RURAL,33.01,19.42,28.4,26.8,46.761398,-122.122001,712.817016,-1227.98999
1129,FOREST,RURAL,31.76,17.63,26.9,25.44,48.539398,-121.446998,821.934997,-1163.280029
1130,COMMERCIAL,SUBURBAN,32.91,21.43,28.41,25.88,48.460098,-122.518997,830.638,-1212.5
1131,UNKNOWN,UNKNOWN,50.42,33.34,46.99,46.03,47.422199,-117.529998,700.690979,-1005.940002
1132,RESIDENTIAL,RURAL,46.36,35.32,42.91,42.06,47.827201,-117.275001,725.117004,-987.773986
1133,INDUSTRIAL,SUBURBAN,40.12,24.05,35.5,34.03,46.952598,-122.595001,731.896972,-1245.829956
1134,COMMERCIAL,SUBURBAN,54.88,31.77,49.12,47.74,39.448001,-77.964103,125.457,953.169006
1135,COMMERCIAL,SUBURBAN,65.61,37.97,57.62,55.73,38.424098,-82.425903,14.691399,729.87799
1136,AGRICULTURAL,RURAL,58.18,36.65,53.77,52.64,37.9085,-80.632598,-5.076469,831.405029
1137,RESIDENTIAL,SUBURBAN,55.45,35.58,50.48,47.6,40.421501,-80.580703,166.283004,805.018981
1138,COMMERCIAL,URBAN,60.9,31.78,53.95,52.36,38.3456,-81.628303,15.9104,773.268005
1139,COMMERCIAL,SUBURBAN,55.92,35.06,49.67,47.93,39.649398,-79.920898,119.780998,848.461975
1140,COMMERCIAL,URBAN,60.61,33.66,54,52.5,40.114898,-80.700996,144.363006,802.33197
1141,INDUSTRIAL,SUBURBAN,60.77,35.87,54.08,52.99,39.323501,-81.552398,83.168899,766.679016
1142,RESIDENTIAL,SUBURBAN,39.32,28.55,36.41,34.86,46.614601,-90.698699,532.971008,253.104003
1143,RESIDENTIAL,RURAL,48.76,34.82,43.82,42.4,44.529998,-87.908897,399.351013,398.764007
1144,AGRICULTURAL,RURAL,52.16,36.99,47.77,46.79,43.314399,-89.108901,310.80899,346.079986
1145,RESIDENTIAL,URBAN,41.82,28.91,38,36.52,43.100799,-89.3572,295.177001,334.70401
1146,AGRICULTURAL,RURAL,43.33,33.08,39.69,38.25,43.435001,-88.527801,321.402008,374.519989
1147,FOREST,RURAL,52.55,39.43,47.71,44.34,45.2378,-86.993598,452.213989,438.915008
1148,FOREST,RURAL,44.82,30.83,41.32,40.31,45.7956,-88.400596,484.358001,367.316986
1149,AGRICULTURAL,RURAL,50.48,36.53,46.07,44.79,43.687801,-88.421897,339.23001,378.364013
1150,FOREST,RURAL,42.07,34.92,39.48,37.86,45.564998,-88.808601,466.884002,348.890991
1151,RESIDENTIAL,URBAN,52.27,34.33,47.79,46.61,43.001399,-88.812202,290.415008,362.649993
1152,RESIDENTIAL,RURAL,56.99,37.37,50.99,48.03,42.504699,-87.809303,260.53601,416.197998
1153,AGRICULTURAL,RURAL,53.41,38.79,48.16,45.53,44.442798,-87.506103,395.160003,419.118011
1154,AGRICULTURAL,RURAL,51.4,35.21,46.7,43.82,44.138599,-87.616096,373.744995,415.634002
1155,AGRICULTURAL,RURAL,47.76,36.23,44.16,42.87,44.707199,-89.769699,404.358001,306.382995
1156,COMMERCIAL,URBAN,44.19,26.74,37.64,35.37,43.0167,-87.933296,295.174011,406.790985
1157,COMMERCIAL,URBAN,39.58,25.29,34.53,32.14,43.0611,-87.912498,298.322998,407.566986
1158,RESIDENTIAL,URBAN,49.48,32.32,43.71,40.89,43.075298,-87.884399,299.421997,408.890014
1159,COMMERCIAL,SUBURBAN,52.7,33.86,47.18,44.42,43.181098,-87.900596,306.627014,407.432006
1160,FOREST,RURAL,44.56,32.02,41.04,39.83,45.6781,-89.632202,471.703002,308.457
1161,RESIDENTIAL,SUBURBAN,50.61,35.09,45.84,44.64,44.3069,-88.395599,381.940002,376.118988
1162,AGRICULTURAL,SUBURBAN,50.89,33.14,45.82,43.27,43.343101,-87.920799,317.671997,405.425994
1163,AGRICULTURAL,RURAL,50.7,34.81,45.68,42.84,43.4981,-87.809997,328.825988,410.014007
1164,RESIDENTIAL,URBAN,53,35.02,46.6,43.69,42.713901,-87.798599,274.963989,415.442993
1165,RESIDENTIAL,URBAN,52.13,33.22,47.48,46.55,42.508899,-89.056701,255.563003,352.925994
1166,INDUSTRIAL,RURAL,41.63,29.28,37.94,36.27,45.124401,-92.662498,425.684997,163.164001
1167,FOREST,RURAL,43.25,32.76,39.76,38.27,43.4356,-89.680297,317.07199,316.852996
1168,FOREST,RURAL,55.89,39.73,51,47.1,43.6669,-87.7164,340.859985,413.630004
1169,AGRICULTURAL,RURAL,48.47,36.41,45.13,42.91,43.702201,-90.568298,332.579986,271.290008
1170,FOREST,RURAL,47.23,37.04,43.82,41.87,46.048099,-89.653602,497.122985,305.645996
1171,RESIDENTIAL,RURAL,52.91,37.03,47.97,46.79,42.580001,-88.499198,262.697998,380.799011
1172,COMMERCIAL,SUBURBAN,48.12,33.76,43.52,42.23,43.327201,-88.220298,315.277008,390.529998
1173,RESIDENTIAL,URBAN,48.04,29.97,42.81,41.2,43.020301,-88.214996,294.187988,392.601013
1174,DESERT,RURAL,47.95,36.54,44.52,43.62,44.6721,-105.29,414.739013,-456.675994
1175,DESERT,RURAL,47.41,34.2,43.69,42.88,44.146999,-105.529998,379.897003,-472.197998
1176,FOREST,RURAL,54.95,48.22,51.99,50.02,42.3148,-108.430999,271.886993,-632.346984
1177,INDUSTRIAL,RURAL,50.81,34.57,46.99,46.42,42.429401,-109.695999,288.914001,-695.026977
1178,INDUSTRIAL,RURAL,53.24,39.57,49.63,48.8,42.7206,-109.752998,309.225006,-694.885009
1179,DESERT,RURAL,51.97,39.39,48.96,48.58,42.792598,-110.055999,316.471984,-709.307983
1180,INDUSTRIAL,RURAL,50.46,35.42,47.07,46.49,41.4066,-108.144996,207.796005,-626.197998
1181,DESERT,RURAL,50.7,36.54,46.92,46.08,41.7369,-109.638999,241.225006,-699.304992
1182,FOREST,RURAL,49.64,42.61,47.27,45.79,44.565299,-110.400001,440.039001,-707.291992
1183,AGRICULTURAL,RURAL,51.04,40.92,48.1,47.17,41.3731,-111.041999,227.766998,-774.741027
